file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,6
style.css,2,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,32
style.css,3,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,23
style.css,4,css,972228be,dkanodia,2025-05-02,22:35:26,-07:00,2025-05-02T22:35:26-07:00,0,40
style.css,5,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,6,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,7,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,5
style.css,8,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,33
style.css,9,css,972228be,dkanodia,2025-05-02,22:35:26,-07:00,2025-05-02T22:35:26-07:00,0,24
style.css,10,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,11,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,12,css,bb034a18,dkanodia,2025-04-02,22:03:06,-07:00,2025-04-02T22:03:06-07:00,0,5
style.css,13,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,23
style.css,14,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,16
style.css,15,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,16
style.css,16,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,43
style.css,17,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,19
style.css,18,css,972228be,dkanodia,2025-05-02,22:35:26,-07:00,2025-05-02T22:35:26-07:00,0,24
style.css,19,css,972228be,dkanodia,2025-05-02,22:35:26,-07:00,2025-05-02T22:35:26-07:00,0,17
style.css,20,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,21,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,22,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,4
style.css,23,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,13
style.css,24,css,972228be,dkanodia,2025-05-02,22:35:26,-07:00,2025-05-02T22:35:26-07:00,0,44
style.css,25,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,18
style.css,26,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,27,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,28,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,6
style.css,29,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,7
style.css,30,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,17
style.css,31,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,32,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,33,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,6
style.css,34,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,7
style.css,35,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,21
style.css,36,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,14
style.css,37,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,18
style.css,38,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,14
style.css,39,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,40,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,41,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,14
style.css,42,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,44
style.css,43,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,21
